age(ce),Mg25,Sr88
1759.86,8426.32,175.603
1759.21,7452.65,139.578
1758.49,8448.25,148.142
1757.77,7623.64,156.917
1757.11,6515.42,147.609
1756.39,6761.68,139.457
1755.73,5507.21,156.574
1755.01,5971.41,130.429
1754.35,5644.68,135.568
1753.63,6072.25,129.997
1752.97,6397.63,132.153
1752.26,5949.22,145.018
1751.6,5304.17,130.356
1750.88,6002.39,127.36
1750.22,5481.47,113.548
1749.5,6293.08,124.856
1748.84,6858.91,122.042
1748.12,6888.05,127.976
1747.46,7686.77,131.746
1746.74,9228.28,132.167
1746.08,8506.22,122.503
1745.37,9810.48,147.763
1744.71,10555.93,186.974
1743.99,10361.61,139.859
1743.33,9507.92,164.18
1742.61,10009.48,141.453
1741.95,9388.66,181.755
1741.23,8888.77,159.8
1740.57,8934.42,157.028
1739.85,9009.31,131.336
1739.19,8506.06,146.166
1738.48,7851.54,132.913
1737.82,8343.49,136.257
1737.1,8030.07,139.077
1736.44,8110.76,133.284
1735.72,7969.33,136.194
1735.06,6889.51,120.646
1734.34,8025.72,129.818
1733.68,7939.25,248.884
1732.96,8691.27,147.415
1732.3,8897.21,161.593
1731.59,9601.23,151.691
1730.93,9108.64,141.626
1730.21,8086.01,159.304
1729.55,8526.1,151.192
1728.83,8985.22,164.844
1709.87,7496.72,150.631
1709.16,7766.91,142.676
1708.4,6504.3,139.203
1707.7,7208.6,146.058
1706.93,7027.42,151.088
1706.23,7229.75,155.866
1705.47,8363.48,150.751
1704.77,7933.76,163.883
1704,7892.67,155.986
1703.3,7704.93,144.75
1702.53,7692.21,159.467
1701.83,8191.95,160.731
1701.07,7152.49,156.196
1700.37,7182.43,146.459
1699.6,7982.92,160.593
1698.9,7206.69,151.773
1698.13,7480.03,156.886
1697.43,7003.85,154.853
1696.67,6635.87,151.451
1695.97,6795.38,220.011
1695.2,6841.39,143.685
1694.5,6768.58,170.488
1693.74,7207.91,177.746
1693.03,6438.2,149.416
1692.27,5928.99,154.044
1691.57,6840.55,212.573
1690.8,6332.86,123.921
1690.1,6698.11,151.33
1689.34,7123.27,151.515
1688.63,6430.98,135.655
1687.87,7006.86,148.584
1687.17,6850.57,134.56
1686.4,7571.42,144.488
1685.7,7006.1,147.984
1684.94,7507.62,143.941
1684.24,7868.08,164.803
1683.47,8605.65,152.476
1682.77,7996.41,151.182
1682,8987.47,155.345
1681.3,8459.58,173.003
1680.54,10734.3,165.78
1679.77,9828.22,190.796
1679.07,8733.82,166.522
1678.31,7699.19,150.813
1677.6,7650.8,165.165
1676.84,8628.32,157.767
1676.14,7354.53,150.913
1675.37,7090.73,144.358
1674.67,6658.7,141.069
1673.91,6428.51,136.618
1673.2,6973.8,138.166
1672.44,7166.28,144.185
1671.74,6582.61,167.949
1670.97,6564.85,142.575
1670.27,5981.39,132.915
